School District,Distance to Subway (km),House Area (sqm),Room Count,Plot Ratio,Parking Ratio,House Age (years),House Price (CNY),Cost Performance Level
7,9.83,125.51,4,0.84,1.61,43,2684090.0,2
4,6.41,102.34,3,0.76,3.53,14,2180440.0,2
8,1.7,124.03,4,0.81,4.77,29,3070450.0,5
5,9.07,112.49,3,2.51,2.54,32,2381860.0,1
7,5.21,64.03,2,1.89,2.54,37,1325790.0,4
10,1.62,127.26,4,1.53,0.59,18,3219890.0,5
3,9.23,66.87,2,1.61,1.95,4,1361690.0,1
7,7.6,126.62,4,1.23,4.26,8,2747310.0,3
8,7.34,174.97,5,1.94,0.68,6,3961760.0,3
5,7.12,108.76,3,1.21,4.59,23,2317930.0,2
4,2.08,73.14,2,2.94,3.34,40,1679960.0,4
8,2.19,114.92,3,0.93,2.1,15,2855350.0,5
8,6.91,86.72,2,3.82,2.73,36,1804040.0,4
3,2.28,143.78,4,0.81,0.75,9,3478410.0,2
6,4.44,114.08,3,3.8,1.09,20,2552140.0,3
5,7.84,188.39,6,3.42,1.43,20,4188019.9999999995,1
2,7.86,166.52,5,2.88,1.92,46,3652400.0,1
8,4.59,113.88,3,3.69,4.58,14,2605830.0,4
6,7.94,148.62,4,0.99,1.84,12,3180710.0,2
2,8.4,104.27,3,1.12,2.62,49,2168790.0,1
5,6.58,121.36,4,1.38,0.81,6,2596800.0,2
1,2.36,105.54,3,1.36,3.68,39,2518960.0,2
10,2.81,150.66,5,1.59,2.8,7,3952510.0,5
6,3.22,177.32,5,2.51,2.2,42,4112250.0,3
9,1.26,151.95,5,0.6,4.74,40,3916629.9999999995,5
1,2.8,156.88,5,1.84,4.45,37,3921060.0,1
10,2.17,156.92,5,1.36,3.3,1,4116239.9999999995,5
3,4.61,142.05,4,2.62,4.61,36,3131700.0000000005,2
7,9.09,74.43,2,3.95,2.82,21,1548290.0000000002,3
4,1.13,188.04,6,2.31,4.13,3,4757950.0,3
9,7.23,192.18,6,1.99,2.05,46,4338070.0,3
3,6.9,110.64,3,1.79,0.43,6,2347510.0,1
5,1.05,105.17,3,3.25,4.97,0,2579770.0,4
3,9.23,144.5,4,0.75,0.83,18,3053410.0,1
7,5.73,142.03,4,3.86,1.26,29,3041290.0,3
5,3.7,111.92,3,1.96,0.82,49,2461920.0,3
9,7.59,70.0,2,1.6,1.69,1,1534780.0,4
7,2.65,132.23,4,3.91,1.45,12,3249510.0,4
2,6.97,142.06,4,3.78,3.01,27,2987500.0,1
4,0.49,149.03,4,2.75,4.98,13,3912990.0,3
9,8.41,133.97,4,0.56,0.26,2,2955330.0,3
2,4.54,109.16,3,3.12,3.89,15,2415180.0,1
10,6.4,159.76,5,1.67,0.64,24,3679330.0,4
9,2.29,122.63,4,1.86,0.1,45,3040460.0,5
10,6.8,101.4,3,1.06,3.19,46,2267720.0,5
5,7.75,112.77,3,2.33,4.37,2,2421580.0,2
2,4.78,50.16,1,3.11,0.88,33,1028009.9999999999,2
4,6.22,112.71,3,1.46,1.71,2,2405870.0,2
7,4.62,147.54,4,3.79,0.84,40,3292770.0,4
8,8.95,133.59,4,1.18,4.53,28,2899270.0,3
3,5.03,180.83,6,0.73,1.35,39,3987230.0000000005,1
1,8.43,109.48,3,2.76,2.22,18,2301760.0,1
4,8.03,139.49,4,3.47,4.47,19,2959760.0,1
2,4.16,151.71,5,3.84,2.76,20,3505010.0,1
8,2.38,213.71,6,3.19,4.66,19,4812750.0,4
4,4.12,125.79,4,1.2,4.63,27,2792440.0,2
2,8.28,78.23,2,3.92,2.31,46,1538300.0,1
6,2.35,153.92,5,3.72,2.91,26,3898099.9999999995,4
6,5.29,194.63,6,1.07,1.15,43,4319090.0,2
10,8.08,107.1,3,2.46,4.95,45,2390540.0,4
4,3.6,153.64,5,2.44,1.39,49,3534059.9999999995,2
6,6.46,169.15,5,2.05,3.92,24,3777090.0,2
2,2.53,160.68,5,3.94,1.56,1,4049180.0,2
10,1.18,125.02,4,0.71,1.57,42,3144910.0,5
2,7.96,92.06,3,2.7,0.52,23,1932600.0,1
10,1.08,116.75,3,1.22,2.8,32,2953380.0,5
4,2.79,138.34,4,2.35,1.22,18,3346250.0,3
8,8.57,156.33,5,3.23,0.74,25,3531510.0000000005,2
7,3.53,133.36,4,1.36,1.13,45,2978820.0000000005,4
9,9.73,104.8,3,1.88,1.26,40,2300440.0,3
8,9.8,142.22,4,3.83,2.52,2,3099830.0,2
5,2.76,154.4,5,3.17,1.93,26,3893690.0,3
2,0.51,135.18,4,2.5,0.38,13,3528940.0,2
